"tool_name","scenario_id","selection_reason","execution_status","f1_score","exact_oracle_match","syntactic_valid","raw_output_checksum","normalized_output_checksum","audit_decision","auditor_id","audit_notes","audited_at_utc"
"FSTMerge","scenario_1","stratified_sample","completed_clean","0.34146341463414637","False","True","acec10b5798a9d3b94b2e33a256c765a826b7d26a297d69d32e9b571edba0beb","acec10b5798a9d3b94b2e33a256c765a826b7d26a297d69d32e9b571edba0beb","evidence_consistent","codex_phase4_audit","Stratified artifact-tree inspection agrees with recorded missing/extra files and TP/FP/FN metrics","2026-08-12T20:32:35Z"
"FSTMerge","scenario_11","stratified_sample","completed_clean","0.6425992779783395","False","True","7fd3f67878ca7e3fdb0a50b1d15c100892fd1ca4425315bfaff725808a2c263f","7fd3f67878ca7e3fdb0a50b1d15c100892fd1ca4425315bfaff725808a2c263f","evidence_consistent","codex_phase4_audit","Stratified artifact-tree inspection agrees with recorded missing/extra files and TP/FP/FN metrics","2026-08-12T20:32:35Z"
"FSTMerge","scenario_12","stratified_sample;syntax_boundary","completed_clean","0.5878962536023055","False","False","243ae3656403b1ed1fe54ae9038503eeafa61b87b0e7ebeaab7da3777dd6e28b","243ae3656403b1ed1fe54ae9038503eeafa61b87b0e7ebeaab7da3777dd6e28b","evidence_consistent","codex_phase4_audit","Confirmed configured javac diagnostic evidence: parser diagnostics: compiler.err.class.public.should.be.in.file; Stratified artifact-tree inspection agrees with recorded missing/extra files and TP/FP/FN metrics","2026-08-12T20:32:35Z"
"FSTMerge","scenario_13","stratified_sample;syntax_boundary","completed_clean","0.47393364928909953","False","False","8e87144c149a6d340179af224a6901931085f3f90f72bc4630838c101b885d15","8e87144c149a6d340179af224a6901931085f3f90f72bc4630838c101b885d15","evidence_consistent","codex_phase4_audit","Confirmed configured javac diagnostic evidence: parser diagnostics: compiler.err.class.public.should.be.in.file; Stratified artifact-tree inspection agrees with recorded missing/extra files and TP/FP/FN metrics","2026-08-12T20:32:35Z"
"FSTMerge","scenario_24","stratified_sample","completed_clean","0.3137254901960784","False","True","1a1c9104685927dd288726d67cde798cb9b26dacf98e6ab0fef07403ce4cb22a","1a1c9104685927dd288726d67cde798cb9b26dacf98e6ab0fef07403ce4cb22a","evidence_consistent","codex_phase4_audit","Stratified artifact-tree inspection agrees with recorded missing/extra files and TP/FP/FN metrics","2026-08-12T20:32:35Z"
"FSTMerge","scenario_26","syntax_boundary","completed_clean","0.16143497757847536","False","False","c42398f194297b385676f41b896de2a1a7fa790c606f2e6ba10fea2db8fdf226","c42398f194297b385676f41b896de2a1a7fa790c606f2e6ba10fea2db8fdf226","evidence_consistent","codex_phase4_audit","Confirmed configured javac diagnostic evidence: parser diagnostics: compiler.err.class.public.should.be.in.file","2026-08-12T20:32:35Z"
"FSTMerge","scenario_27","syntax_boundary","completed_clean","0.4691358024691358","False","False","fe6d8a0a7278e6fbc378d36fe8a5409f3a5b2a25cb4508844467c6afc6cac5b9","fe6d8a0a7278e6fbc378d36fe8a5409f3a5b2a25cb4508844467c6afc6cac5b9","evidence_consistent","codex_phase4_audit","Confirmed configured javac diagnostic evidence: parser diagnostics: compiler.err.class.public.should.be.in.file","2026-08-12T20:32:35Z"
"FSTMerge","scenario_28","syntax_boundary","completed_clean","0.16666666666666666","False","False","e241644534190057bcc7286ef857e3a39539f3a467fa6c5e163fb99cc1c40e21","e241644534190057bcc7286ef857e3a39539f3a467fa6c5e163fb99cc1c40e21","evidence_consistent","codex_phase4_audit","Confirmed configured javac diagnostic evidence: parser diagnostics: compiler.err.class.public.should.be.in.file","2026-08-12T20:32:35Z"
"FSTMerge","scenario_29","syntax_boundary","completed_clean","0.4731182795698924","False","False","d0f2e5b1a837f24af8aa1f7d2dbf80cf9ef1132b61865103f70cd98bee4ee678","d0f2e5b1a837f24af8aa1f7d2dbf80cf9ef1132b61865103f70cd98bee4ee678","evidence_consistent","codex_phase4_audit","Confirmed configured javac diagnostic evidence: parser diagnostics: compiler.err.class.public.should.be.in.file","2026-08-12T20:32:35Z"
"FSTMerge","scenario_30","syntax_boundary","completed_clean","0.4090909090909091","False","False","4c2952370ad8e508c61d457b5bf73a9892c3b2429d3eeabe2aae1932e9569c30","4c2952370ad8e508c61d457b5bf73a9892c3b2429d3eeabe2aae1932e9569c30","evidence_consistent","codex_phase4_audit","Confirmed configured javac diagnostic evidence: parser diagnostics: compiler.err.class.public.should.be.in.file","2026-08-12T20:32:35Z"
