scenario_id,reviewer_id,review_round,oracle_decision,intent_preserved,complete_artifact_tree,no_unjustified_content,syntactically_valid,compilation_result,tests_result,assigned_mapping,assigned_change_type,comments,reviewed_at_utc
scenario_1,reviewer_B,1,,,,,,,,,,,
scenario_2,reviewer_B,1,,,,,,,,,,,
scenario_3,reviewer_B,1,,,,,,,,,,,
scenario_4,reviewer_B,1,,,,,,,,,,,
scenario_5,reviewer_B,1,,,,,,,,,,,
scenario_6,reviewer_B,1,,,,,,,,,,,
scenario_7,reviewer_B,1,,,,,,,,,,,
scenario_8,reviewer_B,1,,,,,,,,,,,
scenario_9,reviewer_B,1,,,,,,,,,,,
scenario_10,reviewer_B,1,,,,,,,,,,,
scenario_11,reviewer_B,1,,,,,,,,,,,
scenario_12,reviewer_B,1,,,,,,,,,,,
scenario_13,reviewer_B,1,,,,,,,,,,,
scenario_14,reviewer_B,1,,,,,,,,,,,
scenario_15,reviewer_B,1,,,,,,,,,,,
scenario_16,reviewer_B,1,,,,,,,,,,,
scenario_17,reviewer_B,1,,,,,,,,,,,
scenario_18,reviewer_B,1,,,,,,,,,,,
scenario_19,reviewer_B,1,,,,,,,,,,,
scenario_20,reviewer_B,1,,,,,,,,,,,
scenario_21,reviewer_B,1,,,,,,,,,,,
scenario_22,reviewer_B,1,,,,,,,,,,,
scenario_23,reviewer_B,1,,,,,,,,,,,
scenario_24,reviewer_B,1,,,,,,,,,,,
scenario_25,reviewer_B,1,,,,,,,,,,,
scenario_26,reviewer_B,1,,,,,,,,,,,
scenario_27,reviewer_B,1,,,,,,,,,,,
scenario_28,reviewer_B,1,,,,,,,,,,,
scenario_29,reviewer_B,1,,,,,,,,,,,
scenario_30,reviewer_B,1,,,,,,,,,,,
scenario_31,reviewer_B,1,,,,,,,,,,,
scenario_32,reviewer_B,1,,,,,,,,,,,
scenario_33,reviewer_B,1,,,,,,,,,,,
scenario_34,reviewer_B,1,,,,,,,,,,,
scenario_35,reviewer_B,1,,,,,,,,,,,
scenario_36,reviewer_B,1,,,,,,,,,,,
scenario_37,reviewer_B,1,,,,,,,,,,,
scenario_38,reviewer_B,1,,,,,,,,,,,
scenario_39,reviewer_B,1,,,,,,,,,,,
