scenario_id,reviewer_id,review_round,oracle_decision,intent_preserved,complete_artifact_tree,no_unjustified_content,syntactically_valid,compilation_result,tests_result,assigned_mapping,assigned_change_type,comments,reviewed_at_utc
scenario_10,codex_reviewer_1,2,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,structural,The revised oracle retains only branch-supported constructors and combines the complete accessors with the left textual representation.,2026-08-12T16:27:44Z
scenario_12,codex_reviewer_1,2,accept,yes,yes,yes,yes,not_run,not_applicable,1:N,behavioral,"The revised tree now contains AuditLogger, all four validators, ValidationException, and the integrated OrderService with consistent filenames and public types.",2026-08-12T16:27:44Z
scenario_14,codex_reviewer_1,2,accept,yes,yes,yes,yes,not_run,not_applicable,1:N,structural,The revised PersonalInfo propagates fullName while retaining the ContactDetails decomposition.,2026-08-12T16:27:44Z
scenario_15,codex_reviewer_1,2,accept,yes,yes,yes,yes,not_run,not_applicable,1:N,structural,The revised ContactInfo propagates getPhoneNumber and setPhoneNumber through the decomposition.,2026-08-12T16:27:44Z
scenario_17,codex_reviewer_1,2,accept,yes,yes,yes,yes,not_run,not_applicable,1:N,structural,The oracle now consistently names the right-side retained identity artifact PersonIdentity.java and retains ContactMethods.,2026-08-12T16:27:44Z
scenario_21,codex_reviewer_1,2,accept,yes,yes,yes,yes,not_run,not_applicable,1:N,structural,The revised Identity preserves id and name while propagating the left removal of birthDate.,2026-08-12T16:27:44Z
scenario_24,codex_reviewer_1,2,accept,yes,yes,yes,yes,not_run,not_applicable,N:N,structural,The revised Client and Location tree preserves city in Location and retains the coupled reorganization.,2026-08-12T16:27:44Z
scenario_26,codex_reviewer_1,2,accept,yes,yes,yes,yes,not_run,not_applicable,N:N,structural,The Customer.java filename now matches its public Customer type and the selected Customer and Order field changes remain intact.,2026-08-12T16:27:44Z
scenario_31,codex_reviewer_1,2,accept,yes,yes,yes,yes,not_run,not_applicable,N:N,structural,The revised tree maps email into Client and orderDate into Purchase while retaining Item and the right-side decomposition.,2026-08-12T16:27:44Z
scenario_32,codex_reviewer_1,2,accept,yes,yes,yes,yes,not_run,not_applicable,N:N,structural,The revised tree preserves student identity in Learner and retains both Course and StudentDetails.,2026-08-12T16:27:44Z
scenario_34,codex_reviewer_1,2,accept,yes,yes,yes,yes,not_run,not_applicable,1:1,behavioral,The revised calculation combines the left premium tiers with the right MAX_DISCOUNT cap.,2026-08-12T16:27:44Z
scenario_39,codex_reviewer_1,2,accept,yes,yes,yes,yes,not_run,not_applicable,N:N,behavioral,The revised oracle uses only traceable branch policies and applies recurring configuration before the current total without invented cross-system bonuses.,2026-08-12T16:27:44Z
